"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs"
1160569,6,"Paktia Panthers","Kabul Zwanan","male","2018/19",2018-10-05,"Afghanistan Premier League",1,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","field","LJ Evans","Bismillah Shinwari","Izatullah Safi","Farooq Khan","Ahmed Shah Pakteen","DT Jukes","Kabul Zwanan",3,NA
1160570,6,"Kandahar Knights","Nangarhar Leopards","male","2018/19",2018-10-06,"Afghanistan Premier League",2,"Sharjah Cricket Stadium","Sharjah","Kandahar Knights","bat","BCJ Cutting","Ahmed Shah Pakteen","Farooq Khan","Muhammad Sabir","Bismillah Shinwari","DT Jukes","Nangarhar Leopards",6,NA
1160571,6,"Kabul Zwanan","Balkh Legends","male","2018/19",2018-10-06,"Afghanistan Premier League",3,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","field","RN ten Doeschate","Bismillah Shinwari","Izatullah Safi","Muhammad Sabir","Ahmed Shah Pakteen","DT Jukes","Balkh Legends",8,NA
1160572,6,"Paktia Panthers","Nangarhar Leopards","male","2018/19",2018-10-07,"Afghanistan Premier League",4,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","bat","BCJ Cutting","Bismillah Shinwari","Farooq Khan","Muhammad Sabir","Ahmed Shah Pakteen","DT Jukes","Paktia Panthers",NA,21
1160573,6,"Balkh Legends","Kandahar Knights","male","2018/19",2018-10-07,"Afghanistan Premier League",5,"Sharjah Cricket Stadium","Sharjah","Kandahar Knights","field","Gulbadin Naib","Ahmed Shah Pakteen","Izatullah Safi","Bismillah Shinwari","Farooq Khan","DT Jukes","Balkh Legends",NA,13
1160574,6,"Nangarhar Leopards","Kabul Zwanan","male","2018/19",2018-10-09,"Afghanistan Premier League",6,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","field","Hazratullah","Ahmed Shah Pakteen","AK Chaudhary","Ahmed Shah Durrani","Bismillah Shinwari","DT Jukes","Kabul Zwanan",7,NA
1160575,6,"Paktia Panthers","Balkh Legends","male","2018/19",2018-10-10,"Afghanistan Premier League",7,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","field","CS Delport","AK Chaudhary","Bismillah Shinwari","Muhammad Sabir","Ahmed Shah Durrani","DT Jukes","Paktia Panthers",NA,37
1160576,6,"Kabul Zwanan","Kandahar Knights","male","2018/19",2018-10-11,"Afghanistan Premier League",8,"Sharjah Cricket Stadium","Sharjah","Kandahar Knights","field","Shahidullah","Ahmed Shah Durrani","Ahmed Shah Pakteen","Farooq Khan","Bismillah Shinwari","DT Jukes","Kabul Zwanan",NA,2
1160577,6,"Balkh Legends","Nangarhar Leopards","male","2018/19",2018-10-11,"Afghanistan Premier League",9,"Sharjah Cricket Stadium","Sharjah","Nangarhar Leopards","field","Mirwais Ashraf","AK Chaudhary","Bismillah Shinwari","Ahmed Shah Durrani","Izatullah Safi","DT Jukes","Balkh Legends",NA,25
1160578,6,"Paktia Panthers","Kandahar Knights","male","2018/19",2018-10-12,"Afghanistan Premier League",10,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","bat","I Udana","AK Chaudhary","Bismillah Shinwari","Muhammad Sabir","Ahmed Shah Pakteen","DT Jukes","Paktia Panthers",NA,9
1160579,6,"Nangarhar Leopards","Kabul Zwanan","male","2018/19",2018-10-12,"Afghanistan Premier League",11,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","field","Rahmat Shah","AK Chaudhary","Izatullah Safi","Farooq Khan","Bismillah Shinwari","DT Jukes","Nangarhar Leopards",NA,15
1160580,6,"Balkh Legends","Paktia Panthers","male","2018/19",2018-10-13,"Afghanistan Premier League",12,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","bat","RN ten Doeschate","Ahmed Shah Pakteen","Bismillah Shinwari","Muhammad Sabir","Ahmed Shah Durrani","DT Jukes","Balkh Legends",NA,89
1160581,6,"Kandahar Knights","Nangarhar Leopards","male","2018/19",2018-10-13,"Afghanistan Premier League",13,"Sharjah Cricket Stadium","Sharjah","Kandahar Knights","bat","Karim Janat","Ahmed Shah Durrani","AK Chaudhary","Farooq Khan","Bismillah Shinwari","DT Jukes","Kandahar Knights",NA,26
1160582,6,"Balkh Legends","Kabul Zwanan","male","2018/19",2018-10-14,"Afghanistan Premier League",14,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","bat","CH Gayle","Ahmed Shah Pakteen","AK Chaudhary","Muhammad Sabir","Bismillah Shinwari","DT Jukes","Balkh Legends",NA,21
1160583,6,"Nangarhar Leopards","Paktia Panthers","male","2018/19",2018-10-14,"Afghanistan Premier League",15,"Sharjah Cricket Stadium","Sharjah","Nangarhar Leopards","bat","Mohammad Shahzad","AK Chaudhary","Bismillah Shinwari","Farooq Khan","Ahmed Shah Durrani","DT Jukes","Paktia Panthers",7,NA
1160584,6,"Kandahar Knights","Kabul Zwanan","male","2018/19",2018-10-16,"Afghanistan Premier League",16,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","field","Rashid Khan","Ahmed Shah Pakteen","AK Chaudhary","Muhammad Sabir","Bismillah Shinwari","DT Jukes","Kabul Zwanan",4,NA
1160585,6,"Balkh Legends","Nangarhar Leopards","male","2018/19",2018-10-17,"Afghanistan Premier League",17,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","bat","ADS Fletcher","Ahmed Shah Pakteen","Bismillah Shinwari","Farooq Khan","Ahmed Shah Durrani","DT Jukes","Nangarhar Leopards",6,NA
1160586,6,"Paktia Panthers","Kandahar Knights","male","2018/19",2018-10-17,"Afghanistan Premier League",18,"Sharjah Cricket Stadium","Sharjah","Paktia Panthers","bat","Asghar Stanikzai","AK Chaudhary","Izatullah Safi","Muhammad Sabir","Ahmed Shah Pakteen","DT Jukes","Kandahar Knights",4,NA
1160587,6,"Kandahar Knights","Balkh Legends","male","2018/19",2018-10-18,"Afghanistan Premier League",19,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","field","CH Gayle","Ahmed Shah Durrani","Ahmed Shah Pakteen","Muhammad Sabir","Izatullah Safi","DT Jukes","Balkh Legends",6,NA
1160588,6,"Kabul Zwanan","Paktia Panthers","male","2018/19",2018-10-18,"Afghanistan Premier League",20,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","bat","Mohammad Shahzad","AK Chaudhary","Bismillah Shinwari","Farooq Khan","Izatullah Safi","DT Jukes","Paktia Panthers",6,NA
1160589,6,"Balkh Legends","Nangarhar Leopards","male","2018/19",2018-10-19,"Afghanistan Premier League",NA,"Sharjah Cricket Stadium","Sharjah","Balkh Legends","bat","Mohammad Nabi","Ahmed Shah Pakteen","AK Chaudhary","Izatullah Safi","Ahmed Shah Durrani","DT Jukes","Balkh Legends",NA,171
1160590,6,"Kabul Zwanan","Paktia Panthers","male","2018/19",2018-10-20,"Afghanistan Premier League",NA,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","bat","Rashid Khan","AK Chaudhary","Bismillah Shinwari","Izatullah Safi","Ahmed Shah Durrani","DT Jukes","Kabul Zwanan",NA,90
1160591,6,"Kabul Zwanan","Balkh Legends","male","2018/19",2018-10-21,"Afghanistan Premier League",NA,"Sharjah Cricket Stadium","Sharjah","Kabul Zwanan","bat","Qais Ahmad","Ahmed Shah Pakteen","AK Chaudhary","Izatullah Safi","Ahmed Shah Durrani","DT Jukes","Balkh Legends",4,NA
