"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets"
1381361,6,"Texas Super Kings","Los Angeles Knight Riders","male","2023",2023-07-13,"Major League Cricket",1,"Grand Prairie Stadium","Grand Prairie","Los Angeles Knight Riders","field","DA Miller","Jermaine Lindo","P Wilson","O Brown","WR Knights","SJA Taufel","Texas Super Kings",69,NA
1381362,6,"San Francisco Unicorns","MI New York","male","2023",2023-07-14,"Major League Cricket",2,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","bat","CJ Anderson","Aleem Dar","Vijaya Mallela","O Brown","BV Taylor","SJA Taufel","San Francisco Unicorns",22,NA
1381363,6,"Washington Freedom","Seattle Orcas","male","2023",2023-07-14,"Major League Cricket",3,"Grand Prairie Stadium","Dallas","Seattle Orcas","field","Imad Wasim","R Samuels","WR Knights","Jermaine Lindo","P Wilson","SJA Taufel","Seattle Orcas",NA,5
1381364,6,"Seattle Orcas","San Francisco Unicorns","male","2023",2023-07-15,"Major League Cricket",4,"Grand Prairie Stadium","Dallas","Seattle Orcas","bat","H Klaasen","Aleem Dar","BV Taylor","O Brown","Vijaya Mallela","SJA Taufel","Seattle Orcas",35,NA
1381365,6,"Washington Freedom","Texas Super Kings","male","2023",2023-07-16,"Major League Cricket",5,"Grand Prairie Stadium","Dallas","Washington Freedom","bat","MW Short","Jermaine Lindo","P Wilson","Vijaya Mallela","R Samuels","SJA Taufel","Washington Freedom",6,NA
1381366,6,"MI New York","Los Angeles Knight Riders","male","2023",2023-07-16,"Major League Cricket",6,"Grand Prairie Stadium","Dallas","MI New York","bat","TH David","Aleem Dar","BV Taylor","O Brown","WR Knights","Reon King","MI New York",105,NA
1381367,6,"Texas Super Kings","MI New York","male","2023",2023-07-17,"Major League Cricket",7,"Grand Prairie Stadium","Dallas","Texas Super Kings","bat","DP Conway","Jermaine Lindo","WR Knights","O Brown","Vijaya Mallela","SJA Taufel","Texas Super Kings",17,NA
1381368,6,"San Francisco Unicorns","Los Angeles Knight Riders","male","2023",2023-07-18,"Major League Cricket",8,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","bat","MS Wade","Aleem Dar","R Samuels","O Brown","BV Taylor","Reon King","San Francisco Unicorns",21,NA
1381369,6,"Los Angeles Knight Riders","Washington Freedom","male","2023",2023-07-20,"Major League Cricket",9,"Church Street Park, Morrisville","Morrisville","Washington Freedom","field","AD Russell","BV Taylor","P Wilson","C Edwards","Jermaine Lindo","SJA Taufel","Washington Freedom",NA,6
1381370,6,"Texas Super Kings","Seattle Orcas","male","2023",2023-07-21,"Major League Cricket",10,"Church Street Park, Morrisville","Morrisville","Seattle Orcas","field","WD Parnell","Vijaya Mallela","WR Knights","C Edwards","Aleem Dar","Reon King","Seattle Orcas",NA,8
1381371,6,"Washington Freedom","San Francisco Unicorns","male","2023",2023-07-22,"Major League Cricket",11,"Church Street Park, Morrisville","Morrisville","San Francisco Unicorns","field","SN Netravalkar","P Wilson","R Samuels","C Edwards","Jermaine Lindo","SJA Taufel","Washington Freedom",30,NA
1381372,6,"Seattle Orcas","Los Angeles Knight Riders","male","2023",2023-07-23,"Major League Cricket",12,"Church Street Park, Morrisville","Morrisville","Los Angeles Knight Riders","field","RR Rossouw","BV Taylor","Reon King","Vijaya Mallela","WR Knights","C Edwards","Los Angeles Knight Riders",NA,2
1381373,6,"Washington Freedom","MI New York","male","2023",2023-07-23,"Major League Cricket",13,"Church Street Park, Morrisville","Morrisville","MI New York","field","N Pooran","Aleem Dar","P Wilson","C Edwards","R Samuels","SJA Taufel","MI New York",NA,8
1381374,6,"San Francisco Unicorns","Texas Super Kings","male","2023",2023-07-24,"Major League Cricket",14,"Church Street Park, Morrisville","Morrisville","San Francisco Unicorns","bat","DR Sams","Jermaine Lindo","R Samuels","C Edwards","Aleem Dar","Reon King","Texas Super Kings",NA,3
1381375,6,"MI New York","Seattle Orcas","male","2023",2023-07-25,"Major League Cricket",15,"Church Street Park, Morrisville","Morrisville","Seattle Orcas","field","H Klaasen","Vijaya Mallela","WR Knights","C Edwards","P Wilson","SJA Taufel","Seattle Orcas",NA,2
1381376,6,"MI New York","Washington Freedom","male","2023",2023-07-27,"Major League Cricket",NA,"Grand Prairie Stadium","Dallas","Washington Freedom","field","D Brevis","Aleem Dar","R Samuels","P Wilson","Jermaine Lindo","Reon King","MI New York",16,NA
1381377,6,"Texas Super Kings","Seattle Orcas","male","2023",2023-07-27,"Major League Cricket",NA,"Grand Prairie Stadium","Dallas","Texas Super Kings","bat","Q de Kock","BV Taylor","Vijaya Mallela","O Brown","WR Knights","SJA Taufel","Seattle Orcas",NA,9
1381378,6,"Texas Super Kings","MI New York","male","2023",2023-07-28,"Major League Cricket",NA,"Grand Prairie Stadium","Dallas","MI New York","field","TA Boult","Jermaine Lindo","P Wilson","O Brown","R Samuels","Reon King","MI New York",NA,6
1381379,6,"Seattle Orcas","MI New York","male","2023",2023-07-30,"Major League Cricket",NA,"Grand Prairie Stadium","Dallas","MI New York","field","N Pooran","P Wilson","WR Knights","Jermaine Lindo","BV Taylor","SJA Taufel","MI New York",NA,7
